Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
AFG,2,Afghanistan,2511,Wheat and products,5142,Food,1000 tonnes,33.94,67.71,1928,1904,1666,1950,2001,1808,2053,2045,2154,1819
AFG,2,Afghanistan,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,33.94,67.71,183,183,182,220,220,195,231,235,238,213
AFG,2,Afghanistan,2513,Barley and products,5521,Feed,1000 tonnes,33.94,67.71,76,76,76,76,76,75,71,72,73,74
AFG,2,Afghanistan,2513,Barley and products,5142,Food,1000 tonnes,33.94,67.71,237,237,237,238,238,237,225,227,230,234
AFG,2,Afghanistan,2514,Maize and products,5521,Feed,1000 tonnes,33.94,67.71,210,210,214,216,216,216,235,232,236,200
AFG,2,Afghanistan,2514,Maize and products,5142,Food,1000 tonnes,33.94,67.71,403,403,410,415,415,413,454,448,455,383
AFG,2,Afghanistan,2517,Millet and products,5142,Food,1000 tonnes,33.94,67.71,17,18,19,20,21,22,23,24,25,26
AFG,2,Afghanistan,2520,"Cereals, Other",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2531,Potatoes and products,5142,Food,1000 tonnes,33.94,67.71,111,97,103,110,113,117,128,130,134,125
AFG,2,Afghanistan,2536,Sugar cane,5521,Feed,1000 tonnes,33.94,67.71,45,45,45,45,31,14,19,30,34,15
AFG,2,Afghanistan,2537,Sugar beet,5521,Feed,1000 tonnes,33.94,67.71,0,0,0,0,0,16,23,31,28,9
AFG,2,Afghanistan,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,33.94,67.71,45,41,43,52,55,58,62,65,54,73
AFG,2,Afghanistan,2543,"Sweeteners, Other",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2745,Honey,5142,Food,1000 tonnes,33.94,67.71,2,2,2,2,3,3,3,3,3,3
